time,temperature,temperature_min (°C),temperature_max (°C)
2/1/2009,14.1,7.9,20.6
2/2/2009,14.3,5.8,21.9
2/3/2009,16.1,9.2,24
2/4/2009,17.9,10.9,26.8
2/5/2009,18,11.4,26.4
2/6/2009,15.5,10.4,22
2/7/2009,15.7,7.7,23.3
2/8/2009,19,12,27.7
2/9/2009,20.5,16.6,25.3
2/10/2009,14.9,11.6,17.4
2/11/2009,15,10.8,20.3
2/12/2009,15.9,9.5,22.8
2/13/2009,15.5,6.7,23.9
2/14/2009,17,10.6,24.5
2/15/2009,14.5,10.3,19
2/16/2009,13.7,9.4,18.6
2/17/2009,12.3,5.8,17.9
2/18/2009,14.1,6.6,21.3
2/19/2009,18.2,12,26.7
2/20/2009,15.3,10.3,20.3
2/21/2009,13.8,9.9,17.3
2/22/2009,13.3,8.2,17.7
2/23/2009,13.9,5.2,20
2/24/2009,14.4,8.4,19.7
2/25/2009,14.4,6.1,21.3
2/26/2009,16.1,10.4,22.8
2/27/2009,12.3,9.2,16
2/28/2009,12.5,8.1,17.2
3/1/2009,12.9,8.5,18.4
3/2/2009,12.3,7.8,16.7
3/3/2009,14.4,4.8,22.4
3/4/2009,17.5,7.4,26.4
3/5/2009,20.4,13.1,29.2
3/6/2009,23.9,17.8,31.3
3/7/2009,26.3,20.5,33.4
3/8/2009,18.5,12.2,25.2
3/9/2009,15.1,8.1,21
3/10/2009,15.6,8.3,22.2
3/11/2009,17.8,11.3,24.1
3/12/2009,16.6,9.9,23.4
3/13/2009,16.6,8.9,24.6
3/14/2009,15.3,10.2,20.9
3/15/2009,14.9,8,21
3/16/2009,14.6,7.6,21.1
3/17/2009,14.6,7.1,21.8
3/18/2009,15.2,7.7,22.1
3/19/2009,16.4,9.6,23
3/20/2009,17.4,13.2,23.9
3/21/2009,15.6,9,22.6
3/22/2009,17.1,7.5,25
3/23/2009,17.1,11.9,24.6
3/24/2009,14.6,9.9,19
3/25/2009,15.5,7.1,21.9
3/26/2009,17.3,8.3,24.7
3/27/2009,16.5,8.1,23.9
3/28/2009,15.5,10.6,21.4
3/29/2009,16,9.4,23.6
3/30/2009,16.4,7.8,24.2
3/31/2009,18.4,9.5,26.5
4/1/2009,20.1,12.8,27.1
4/2/2009,18.7,11.2,26.9
4/3/2009,19.9,12.1,28.8
4/4/2009,21.8,13.8,29.8
4/5/2009,25.7,16.9,34.4
4/6/2009,22.3,16.8,27
4/7/2009,20.2,13.6,27
4/8/2009,18.4,13,24.4
4/9/2009,17.7,10,24.6
4/10/2009,18.4,10.1,25.5
4/11/2009,22.3,13.8,31
4/12/2009,25,16.9,34.1
4/13/2009,25,16,34.3
4/14/2009,25.6,18.2,37.6
4/15/2009,20.2,13.5,26.5
4/16/2009,18.8,11.4,25.4
4/17/2009,18.9,11,26.1
4/18/2009,20,11.9,28
4/19/2009,20.6,13.1,29.2
4/20/2009,22.1,13.3,31.9
4/21/2009,23.5,14.1,33.2
4/22/2009,25.8,16.8,37.5
4/23/2009,20.6,15.1,26.5
4/24/2009,20.1,15.9,25
4/25/2009,22.1,15.9,29.1
4/26/2009,19.9,15.4,25.9
4/27/2009,19.3,11.8,27
4/28/2009,20.8,12.5,28.9
4/29/2009,23.7,15.3,32.4
4/30/2009,20,14.3,26.9
5/1/2009,20.7,13.8,27.8
5/2/2009,22.9,15.5,29.5
5/3/2009,28.2,20.7,38.2
5/4/2009,26.4,18.4,29.6
5/5/2009,20.5,14.4,26.6
5/6/2009,20.3,14,26.6
5/7/2009,20.9,13.5,27.3
5/8/2009,21,14,27.9
5/9/2009,20.9,13.8,27.7
5/10/2009,20.8,13.4,27.8
5/11/2009,21.5,13.4,28.8
5/12/2009,22.2,13.9,29.9
5/13/2009,22.4,14,30.6
5/14/2009,22.8,14.3,31.6
5/15/2009,23.2,14,32.2
5/16/2009,25.7,16.3,35.1
5/17/2009,28.6,18.9,38
5/18/2009,30,22,40.2
5/19/2009,25.9,18.3,33.4
5/20/2009,25.8,18.7,32.6
5/21/2009,25.3,17.6,32.1
5/22/2009,26.2,18.6,34
5/23/2009,25.6,18.4,32.7
5/24/2009,23.8,18,29.4
5/25/2009,25.1,16.6,32.9
5/26/2009,25.5,17.7,33.1
5/27/2009,24.8,17.4,31.5
5/28/2009,25.2,18.2,32.1
